Muestra,Fecha,Nombre,Nombre2,d2H,d18O,Tipo,dexcess,Lat,Lon,d2hColombia,d18oColombia,Linea
W-5469,29/11/2022,Pozo 227-IV-D-103,Pozo 227-IV-D-103 (250m),-63.1,-9.42,Pozo,12.26,4.6398148,-74.0809122,-116.22,-16,Colombia
W-5770,29/11/2022,PZ-227-IV-D-103 (Piezómetro),PZ-227-IV-D-103 (140m),-60.7,-9.1,Piezometro,12.1,4.6397247,-74.0809343,-120.23,-16.5,Colombia
W-6071,29/11/2022,Genética,Genetica (30m),-61.7,-9.24,Piezometro,12.22,4.6427655,-74.0822335,-124.24,-17,Colombia
W-6372,29/11/2022,Hidráulica 3,Hidraulica3 (7m),-77.7,-10.87,Piezometro,9.26,4.6388263,-74.0814461,-128.25,-17.5,Colombia
W-6673,30/11/2022,TOT Hidráulica (Noviembre),TOT Hidráulica (Lluvia),-112.2,-15.73,Lluvia,13.64,4.638585,-74.0817854,-132.26,-18,Colombia
W-6974,30/12/2022,TOT Hidráulica (Diciembre),TOT Hidráulica (Lluvia),-31.1,-5.65,Lluvia,14.1,4.638585,-74.0817854,-136.27,-18.5,Colombia
W-5588,31/01/2023,Pozo 227-IV-D-103,Pozo 227-IV-D-103 (250m),-63.2,-9.22,Pozo,10.56,4.6398148,-74.0809122,-140.28,-19,Colombia
W-5589,31/01/2023,PZ-227-IV-D-103 (Piezómetro),PZ-227-IV-D-103 (140m),-60.6,-8.93,Piezometro,10.84,4.6397247,-74.0809343,-144.29,-19.5,Colombia
W-5590,31/01/2023,Genética,Genetica (30m),-60.8,-8.99,Piezometro,11.12,4.6427655,-74.0822335,-148.3,-20,Colombia
W-5591,31/01/2023,Hidráulica 3,Hidraulica3 (7m),-70.2,-9.84,Piezometro,8.52,4.6388263,-74.0814461,-152.31,-20.5,Colombia
W-5592,31/01/2023,TOT Hidráulica (Enero),TOT Hidráulica (Lluvia),-50.7,-7.87,Lluvia,12.26,4.638585,-74.0817854,-156.32,-21,Colombia
W-5910,28/02/2023,M4-PA-02.Piezometro 103,PZ-227-IV-D-103 (140m),-59.7,-8.83,Piezometro,10.94,4.6397247,-74.0809343,-160.33,-21.5,Colombia
W59-11,28/02/2023,M3-PA-01-Pozo3-purgado,Pozo 227-IV-D-103 (250m),-62.5,-9.17,Pozo,10.86,4.6398148,-74.0809122,-164.34,-22,Colombia
W59-12,28/02/2023,M1-PA-01-Pozo3,Pozo 227-IV-D-103 (250m),-62.6,-9.19,Pozo,10.92,4.6398148,-74.0809122,-168.35,-22.5,Colombia
W-5913,28/02/2023,M2-PA25-Genetica,Genetica (30m),-61.1,-9.08,Piezometro,11.54,4.6427655,-74.0822335,-172.36,-23,Colombia
W59-14,28/02/2023,M5-PA05-Hidraúlica 3,Hidraulica3 (7m),-67.1,-9.61,Piezometro,9.78,4.6388263,-74.0814461,-176.37,-23.5,Colombia
W59-15,28/02/2023,TOT Hidráulica (Febrero),TOT Hidráulica (Lluvia),-31,-5.91,Lluvia,16.28,4.638585,-74.0817854,-180.38,-24,Colombia
W-5917,25/04/2023,PA-02.Piezometro 103,PZ-227-IV-D-103 (140m),-61.3,-9.11,Piezometro,11.58,4.6397247,-74.0809343,-184.39,-24.5,Colombia
W-5918,26/04/2023,PA-01-Ingeominas 1,Pozo 227-IV-D-103 (250m),-63.7,-9.26,Pozo,10.38,4.6398148,-74.0809122,-188.4,-25,Colombia
W-5919,27/04/2023,M2-PA25-Genetica,Genetica (30m),-61.4,-8.97,Piezometro,10.36,4.6427655,-74.0822335,-192.41,-25.5,Colombia
W-5920,28/04/2023,M5-PA05-Hidraúlica 3,Hidraulica3 (7m),-68.4,-9.59,Piezometro,8.32,4.6388263,-74.0814461,-196.42,-26,Colombia
W-5921,29/04/2023,TOT Hidráulica (Diciembre),TOT Hidráulica (Lluvia),-38.5,-6.46,Lluvia,13.18,4.638585,-74.0817854,-200.43,-26.5,Colombia
