Muestra,Fecha,Nombre,Nombre2,d2H,d18O,Tipo,dexcess,Lat,Lon,d2hCol,d18oMeteo,d2hBog
W-5469,29/11/2022,Pozo 227-IV-D-103,Pozo 227-IV-D-103 (250m),-63.1,-9.42,Pozo,12.26,4.6398148,-74.0809122,-28,-5,-29.27
W-5770,29/11/2022,PZ-227-IV-D-103 (Piezómetro),PZ-227-IV-D-103 (140m),-60.7,-9.1,Piezometro,12.1,4.6397247,-74.0809343,-32.01,-5.5,-33.36
W-6071,29/11/2022,Genética,Genetica (30m),-61.7,-9.24,Piezometro,12.22,4.6427655,-74.0822335,-36.02,-6,-37.45
W-6372,29/11/2022,Hidráulica 3,Hidraulica3 (7m),-77.7,-10.87,Piezometro,9.26,4.6388263,-74.0814461,-40.03,-6.5,-41.54
W-6673,30/11/2022,TOT Hidráulica (Noviembre),TOT Hidráulica (Lluvia),-112.2,-15.73,Lluvia,13.64,4.638585,-74.0817854,-44.04,-7,-45.63
W-6974,30/12/2022,TOT Hidráulica (Diciembre),TOT Hidráulica (Lluvia),-31.1,-5.65,Lluvia,14.1,4.638585,-74.0817854,-48.05,-7.5,-49.72
W-5588,31/01/2023,Pozo 227-IV-D-103,Pozo 227-IV-D-103 (250m),-63.2,-9.22,Pozo,10.56,4.6398148,-74.0809122,-52.06,-8,-53.81
W-5589,31/01/2023,PZ-227-IV-D-103 (Piezómetro),PZ-227-IV-D-103 (140m),-60.6,-8.93,Piezometro,10.84,4.6397247,-74.0809343,-56.07,-8.5,-57.9
W-5590,31/01/2023,Genética,Genetica (30m),-60.8,-8.99,Piezometro,11.12,4.6427655,-74.0822335,-60.08,-9,-61.99
W-5591,31/01/2023,Hidráulica 3,Hidraulica3 (7m),-70.2,-9.84,Piezometro,8.52,4.6388263,-74.0814461,-64.09,-9.5,-66.08
W-5592,31/01/2023,TOT Hidráulica (Enero),TOT Hidráulica (Lluvia),-50.7,-7.87,Lluvia,12.26,4.638585,-74.0817854,-68.1,-10,-70.17
W-5910,28/02/2023,M4-PA-02.Piezometro 103,PZ-227-IV-D-103 (140m),-59.7,-8.83,Piezometro,10.94,4.6397247,-74.0809343,-72.11,-10.5,-74.26
W59-11,28/02/2023,M3-PA-01-Pozo3-purgado,Pozo 227-IV-D-103 (250m),-62.5,-9.17,Pozo,10.86,4.6398148,-74.0809122,-76.12,-11,-78.35
W59-12,28/02/2023,M1-PA-01-Pozo3,Pozo 227-IV-D-103 (250m),-62.6,-9.19,Pozo,10.92,4.6398148,-74.0809122,-80.13,-11.5,-82.44
W-5913,28/02/2023,M2-PA25-Genetica,Genetica (30m),-61.1,-9.08,Piezometro,11.54,4.6427655,-74.0822335,-84.14,-12,-86.53
W59-14,28/02/2023,M5-PA05-Hidraúlica 3,Hidraulica3 (7m),-67.1,-9.61,Piezometro,9.78,4.6388263,-74.0814461,-88.15,-12.5,-90.62
W59-15,28/02/2023,TOT Hidráulica (Febrero),TOT Hidráulica (Lluvia),-31,-5.91,Lluvia,16.28,4.638585,-74.0817854,-92.16,-13,-94.71
W-5917,25/03/2023,PA-02.Piezometro 103,PZ-227-IV-D-103 (140m),-61.3,-9.11,Piezometro,11.58,4.6397247,-74.0809343,-96.17,-13.5,-98.8
W-5918,26/03/2023,PA-01-Ingeominas 1,Pozo 227-IV-D-103 (250m),-63.7,-9.26,Pozo,10.38,4.6398148,-74.0809122,-100.18,-14,-102.89
W-5919,27/03/2023,M2-PA25-Genetica,Genetica (30m),-61.4,-8.97,Piezometro,10.36,4.6427655,-74.0822335,-104.19,-14.5,-106.98
W-5920,28/03/2023,M5-PA05-Hidraúlica 3,Hidraulica3 (7m),-68.4,-9.59,Piezometro,8.32,4.6388263,-74.0814461,-108.2,-15,-111.07
W-5921,29/03/2023,TOT Hidráulica (Diciembre),TOT Hidráulica (Lluvia),-38.5,-6.46,Lluvia,13.18,4.638585,-74.0817854,-148.3,-20,-151.97
